			LA	 				
St. Ann Cemetery	Highway 482	Noble	LA	 71362	318-645-6155			
St. Ann Cemetery	182 Church St	Morganza	LA	 70759	225-694-3781			
St. Ann Mission Cemetery	Old River Road	Old River	LA	 71456	318-379-2521			
St. Ann New Cemetery	1863 Old Hwy 13	Mamou	LA	 70554	337-468-3159			
St. Ann's Cemetery	Spanish Lake Community	Powhatan	LA	 71066	318-352-8819			
St. Ann's Cemetery	Hwy. 190  Eunice Hwy.	Mallet	LA	 70550	337-543-2366			
St. Ann's Old Cemetery	Corner East & South Streets	Mamou	LA	 70554	337-468-3159			
St. Anne Cemetery	201 Church St.	Youngsville	LA	 70592	337-856-8212			
St. Anne Cemetery	17315 Lionel Road	Abbeville	LA	 70510	337-643-7714			
St. Anne's Cemetery	531 Frilot Cove	Frilot Cove	LA	 70570	337-826-3395			
St. Anne's Cemetery	St. Joseph Street	Napoleonville	LA	 70390	985-369-6656			
St. Anthony Catholic Cemetery	Eighth Street	Lake Arthur	LA	 70549	337-774-2901			
St. Anthony Catholic Church Cemetery	Second Street	Krotz Springs	LA	 70750	337-566-3527			
St. Anthony Cemetery	Zion Street	Cottonport	LA	 71327	318-876-3681			
St. Anthony Cemetery	1639 Old Spanish Trail Hwy.	Cade	LA	 70519	337-837-6218			
St. Anthony Gardens	615 Pere Antoine Alley	New Orleans	LA	 70116	504-596-3050			
St. Anthony Mausoleum	1701 Hwy. 654	Gheens	LA	 70355	985-532-6497			
St. Anthony's Dimas Family Cemetery	130 Abra Lane	Cameron	LA	 70631	337-802-4676			
St. Antny Catholic Church Mausoleum	2653 Jean Lafitte Blvd.	Lafitte	LA	 70302	504-689-4101			
St. Augustine Cemetery	2262 Hwy. 484	Isle Brevelle	LA	 71456	318-379-2521			
St. Augustine Cemetery	2717 Dr. Bobby Deshotel Ave.	Basile	LA	 70515	337-432-6817			
St. Augustine Cemetery	1003 Klotzville Rd	Klotzville	LA	 70341	985-513-3470			
St. Augustine Cemetery	800 Block New Roads St.	New Roads	LA	 70760	225-638-7553			
St. Bartholomew Cemetery	500 DeArmas St.	New Orleans	LA	 70114	504-362-5511			
St. Basil Church Cemetery	1803 Duhon Road	Duson	LA	 70529	337-984-2179			
St. Benedict Cemetery	9135 Cameron Street	Duson	LA	 70529	337-873-6772			
St. Benedict the Moor Cemetery	5479 Hwy. 1	Napoleonville	LA	 70390	985-513-3470			
St. Bernard Catholic Cemetery	2805 Bayou Rd	St. Bernard	LA	 70085	504-281-2267			
St. Bernard Cemetery #1	204 North Main Street	Breaux Bridge	LA	 70517-5096	337-332-2159			
St. Bernard Cemetery #2	Main Hwy.	Breaux Bridge	LA	 70517	337-332-2159			
St. Bernard Memorial Gardens	425 West Magnolia Drive	Chalmette	LA	 70043	504-279-6376			
St. Bridget Catholic Church Cemetery	3915 Hwy. 35	Opelousas	LA	 70570	337-543-7591			
St. Bridget Cemetery	100 Hwy. 311	Schriever	LA	 70395	504-446-6801			
St. Catherine Mission Cemetery	Mission Road	Rosa	LA	 71364	318-346-7010			
St. Catherine Mission Church Cemetery	Hwy. 1218	Noble	LA	 71362	318-645-6155			
St. Charles Borromeo Cemetery	1237 Hwy. 665	Montegut	LA	 70377	985-594-6801			
St. Charles Borromeo Cemetery	River Road	Destrehan	LA	 70047	985-764-6383			
St. Charles Catholic Church Cemetery	4598 Hwy. 361	Evergreen	LA	 71333	318-346-2840			
St. Charles Cemetery	1027 Hwy 308	Thibodaux	LA	 70301	504-446-6663			
St. Charles Cemetery	Paul Maillard	Luling	LA	 70070	504-596-3050			
St. Charles Cemetery	174 Church Street	Grand Coteau	LA	 70541	337-662-5279			
St. Dominic Church Cemetery	55720 Hwy. 445	Husser	LA	 70442	985-878-9639			
St. Edward's Catholic Church Cemetery	1200 Hwy. 90  West	New Iberia	LA	 70560	337-369-3101			
St. Edward's Cemetery No. 2	201 South LaSalle Street	New Iberia	LA	 70560	337-369-3101			
St. Edwards Catholic Cemetery	201 Dale Street	New Iberia	LA	 70560-4497	337-369-3101			
St. Edwards Cemetery	1463 Charlene Hwy.	Richard	LA	 70525	337-684-5991			
St. Elie Cemetery	4494 Hwy 56	Chauvin	LA	 70344	985-851-4939			
St. Elizabeth Cemetery	119 Hwy. 403	Paincourtville	LA	 70391	225-473-8569			
St. Elizabeth Cemetery	1006 St. Elizabeth St	Coteau Holmes	LA	 70582	337-394-6684			
St. Eloi Cemetery	1335 Bayou Dularge Rd	Theriot	LA	 70397	985-872-2946			
St. Eugene Cemetery	5035 Grand Chenier Hwy.	Grand Chenier	LA	 70643	337-538-2245			
St. Frances Xavier Cabrini Cemetery	3523 Hwy. 78	Livonia	LA	 70755	225-637-2396			
St. Francis Cemetery	10364 Pointe Coupee Road	New Roads	LA	 70760	225-638-9665			
St. Francis Cemetery	5611 Welcome Road	Lake Charles	LA	 70611	337-905-5889			
St. Francis de Sales Cemetery #1	500 Goode St(rear of church)	Houma	LA	 70360	504-876-6904			
St. Francis de Sales Cemetery #2	6124 W Main St	Houma	LA	 70360	504-876-6904			
St. Francis DeSalles Cemetery	104 Church St.	Echo	LA	 71330	318-305-7887			
St. Francis of Assisi Cemetery	610 N Main	Breaux Bridge	LA	 70517	337-332-2250			
St. Francis of Assisi Cemetery	818 West 10th St.	Donaldsonville	LA	 70346	225-473-3176			
St. Francis Regis Church Cemetery	231 Main Street	Arnaudville	LA	 70512	337-754-5912			
St. Gabriel Cemetery	3625 Highway 75	St. Gabriel	LA	 70776	225-642-8441			
St. Genevieve Catholic Cemetery	4052 Hwy. 452	Marksville	LA	 71351	318-253-9237			
St. George Cemetery	7808 St. George Dr	Baton Rouge	LA	 70809-4699	225-293-2212			
St. Gertrude Cemetery	339 Down the Bayou Rd	Des Allemands	LA	 70030	985-758-7542			
St. Helena Cemetery	Hwy. 83	Florence	LA	 70538	337-519-1639			
St. Hilary of Poiters Memorial Park	Cypress St	Raceland	LA	 70394	985-537-6002			
St. Isidore Catholic Cemetery	Corner of Plank & Thomas Roads	Baton Rouge	LA	 70811-7356	225-775-8850			
St. James Baptist Cemetery	31930 Hwy. 1036	Holden	LA	 70744	225-567-1260			
St. James Baptist Church Cemetery	6319 S. Bayou Black Drive	Gibson	LA	 70356	985-526-4047			
St. James Baptist Church Cemetery	Hwy. 182	Jeanerette	LA	 70544	337-365-1757			
St. James Baptist Church Cemetery	3378 U. s. Hwy. l67  North	Ville Platte	LA	 70586	337-599-2128			
St. James C. M. E. Cemetery	208 4th Street	Youngsville	LA	 70592	337-856-6164			
St. James Cemetery	La. Hwy. 18	St. James	LA	 70086	225-265-4210			
St. James Episcopal Church Columbarium	2050 Bert Kouns Industrial Loop	Shreveport	LA	 71118	318-686-1261			
St. James Mausoleum	3086 Choctaw Road	Choctaw	LA	 70301	985-633-9431			
St. John 	Chenier Perdue Highway	Grand Chenier	LA	 70643	337-538-2245			
St. John Baptist Cemetery	Hollybrook Road	Lake Providence	LA	 71254	318-559-4002			
St. John Baptist Church Cemetery	Brusley Lacroix Road	Dorseyville	LA	 70788	225-545-3475			
St. John Baptist Church Cemetery	Mailbox Road	Evergreen	LA	 71333	318-346-4927			
St. John Berchmans Cemetery	552 Main St.	Cankton	LA	 70584	337-668-4413			
St. John Catholic Cemetery	1024 Hwy. 1207	Deville	LA	 71328	318-466-5587			
St. John Cemetery	914 St. John Street	Lafayette	LA	 70501-6701	337-232-1322			
St. John Cemetery	228 Federal St.	Plaquemine	LA	 70764	225-687-2402			
St. John Cemetery/Hope Mausoleum	4841 Canal St.	New Orleans	LA	 70119	504-486-6651			
St. John Community Cemetery	Highway 17  South	Delhi	LA	 71232	318-878-2028			
St. John Memorial Gardens	2205 W. Airline Highway - Hwy. 61	LaPlace	LA	 70068	985-652-6160			
St. John R. C. Church Cemetery	18410 Live Oak Road	Erath	LA	 70533	337-937-5108			
St. John Roman Catholic Church Mission Cemetery	Bourque Road	Lewisburg	LA	 70525	337-684-5494			
St. John the Baptist Catholic Church Cemetery	East San Antonio Avenue	Many	LA	 71449	318-256-5680			
St. John the Baptist Cemetery	2361 Highway 18	Edgard	LA	 70049	985-497-3412			
St. John the Baptist Cemetery	402 S Kirkland Dr.	Brusly	LA	 70719	225-749-2689			
St. John the Baptist Mausoleum	8021 Lyons Point Hwy.	Crowley	LA	 70526	337-783-2457			
St. John the Baptist Moncla Cemetery	334 Community Center Road	Moncla	LA	 71351	318-466-5587			
St. John the Evangelist Catholic Church Cemetery	Gum Street	Melville	LA	 71353	337-623-4957			
St. John the Evangelist Cemetery	St. Nicholas Street	Jeanerette	LA	 70544	337-276-4576			
St. John the Evangelist Cemetery	2085 St Mary St	Thibodaux	LA	 70301	985-447-3995			
St. John Vianney Cemetery	Cemetery Rd	Bell City	LA	 70630	337-358-2502			
St. John's Cemetery	707 Orange St.	Mermentau	LA	 70556	337-824-2278			
St. Joseph Baptist Church Cemetery #2	241 Robinson Ave	Marrero	LA	 70072	504-367-4580			
St. Joseph Catholic Cemetery	307 Hammond St	Zwolle	LA	 71486	318-645-6155			
St. Joseph Catholic Cemetery	509 1st St.	Patterson	LA	 70392	504-395-3616			
St. Joseph Catholic Cemetery	1500 Main Street	Baton Rouge	LA	 70802	225-387-5928			
St. Joseph Catholic Cemetery	Hwy. 51 @ Hwy. 22  West	Ponchatoula	LA	 70454	504-386-3749			
St. Joseph Catholic Cemetery	Bayou Sale Rd  Hwy 317	Centerville	LA	 70522	337-836-5659			
St. Joseph Catholic Cemetery	2300 Texas Ave.	Shreveport	LA	 71103	318-868-4441			
St. Joseph Cemeteries #1 & #2	2220  Washington Ave/2900  S Liberty	New Orleans	LA	 70113	504-596-3050			
St. Joseph Cemetery	5236 Hwy 56	Chauvin	LA	 70344	985-594-5859			
St. Joseph Cemetery	135 St. Joseph road	Pelican	LA	 71063	318-755-8846			
St. Joseph Cemetery	Hwy. 98	Iota	LA	 70543	337-779-2627			
St. Joseph Cemetery	Highway 104, Soileau Community	Oberlin	LA	 70655	337-639-4399			
St. Joseph Cemetery	727 North Washington Street	Bastrop	LA	 71220	318-281-4327			
St. Joseph Cemetery	100 E. Milton Ave	Lafayette	LA	 70508	337-856-5997			
St. Joseph Cemetery	2130 Rectory St.	Paulina	LA	 70763	225-869-3514			
St. Joseph Cemetery	Highway 77	Grosse Tete	LA	 70740	225-648-2420			
St. Joseph Cemetery	East 1st St.	Thibodaux	LA	 70301	985-446-0280			
St. Joseph Cemetery	17980 West Main St.	Galliano	LA	 70354	985-632-7321			
St. Joseph Cemetery	2250 Cecilia High School Hwy	Cecilia	LA	 70521	337-667-6344			
St. Joseph Cemetery	727 North Washington	Bastrop	LA	 71220	318-281-4327			
St. Joseph Cemetery	301 Stanley Street	Cheneyville	LA	 71325	318-279-2394			
St. Joseph Cemetery	1400 Old Evangeline Hwy.	Evangeline	LA	 70537	337-824-4995			
St. Joseph Cemetery	St. Deporres Street	Broussard	LA	 70518	337-837-6218			
St. Joseph Cemetery	St Mary St.	Elton	LA	 70532	337-550-4599			
St. Joseph Cemetery	15710 La. 16	French Settlement	LA	 70733	225-698-3110			
St. Joseph Cemetery #1	Corner of E Waddil & Presont Sts.	Marksville	LA	 71351	318-253-7561			
St. Joseph Cemetery #1 & 2	500 S. Adams Ave.	Rayne	LA	 70578	337-334-2193			
St. Joseph Cemetery #2	1271 S. Washington Street	Marksville	LA	 71351	318-253-0317			
St. Joseph R C Church Cemetery	1107 Dr. Martin L. King Drive	Ville Platte	LA	 70586	337-506-2400			
St. Joseph Roman Catholic Cemetery	Main St	Loreauville	LA	 70552	337-229-4254			
St. Joseph the Worker Cemetery	3302 Hwy. 70  South	Pierre Part	LA	 70339	985-252-6008			
St. Joseph's Benevolent Cemetery	334-37 Robinson Avenue	Marrero	LA	 70072	504-341-5796			
St. Jules Cemetery	Corner of West Ibert & Ash Street	Franklin	LA	 70538	318-828-1714			
St. Jules Memorial Garden Mausoleum	7161 Hwy. 1	Belle Rose	LA	 70341	225-473-8569			
St. Landry Roman Catholic Cemetery	North Union Street	Opelousas	LA	 70570	337-942-6552			
St. Lawrence Cemetery	3730 Hwy. 307	Kraemer	LA	 70301	985-633-9431			
St. Lawrence Cemetery	3128 Bull Run Road	Schriever	LA	 70395-3019	985-448-2165			
St. Lawrence Roman Catholic Cemetery	29031 Crowley/Eunice Hwy	Mowata	LA	 70535	337-457-2739			
St. Lawrence Roman Catholic Church Cemetery	State Road 102	Pine Island	LA	 70546	337-584-2700			
St. Lazarus of Bethany Memorial Gardens	450 Holy Trinity Drive	Covington	LA	 70433	985-635-4745			
St. Leo Cemetery	126 Church Road	Leonville	LA	 70551	337-879-2365			
St. Leo Cemetery	7166 Roberts Cove Road	Roberts Cove	LA	 70578-8912	337-334-5056			
St. Louis Catholic Cemetery	2226 Bayou Blue Road	Houma	LA	 70364	985-876-3449			
St. Louis Cemetery	731 St. Louis Street	Eunice	LA	 70535	337-457-8212			
St. Louis Cemetery #1	425 Basin St.	New Orleans	LA	 70112	504-596-3050			
St. Louis Cemetery #2	320 North Claiborne Ave.	New Orleans	LA	 70112	504-596-3050			
St. Louis Cemetery #3	3421 Esplanade Ave	New Orleans	LA	 70119	504-596-3050			
St. Lucy Cemetery	1104 South Second St.	Hodge	LA	 71247	318-259-2326			
St. Luke Baptist Church Cemetery	10000 Island Road	Ventress	LA	 70783	225-638-6125			
St. Luke Baptist Church Cemetery	3755 Bayou Black Drive	Bayou Black	LA	 70361	985-876-3939			
St. Luke Cemetery	2391 Petite Prairie Road	Morrow	LA	 71356	337-942-3101			
St. Luke Cemetery	Highway 10	Ville Platte	LA	 70586	337-363-2549			
St. Luke United Methodist Church Cemetery	16678 Greenwell Springs Road	Greenwell Springs	LA	 70739	225-444-9060			
St. Luke's Episcopal Church Columbarium	8833 Goodwood Blvd.	Baton Rouge	LA	 70806-7995	225-926-5343			
St. Marcellus Roman Catholic Cemetery	Avery Island Road	Avery Island	LA	 70560	337-364-0818			
St. Margaret Catholic Church Cemetery	30300 Catholic Church Rd	Hammond	LA	 70403	225-567-3573			
St. Mark Baptist Cemetery	900 E. H. Johnson Street	Jonesville	LA	 71343	318-339-9036			
St. Mark Baptist Church Cemetery	4549 Boothville Road	Doyline	LA	 71023	318-745-2375			
St. Mark Baptist Church Cemetery	1564 Smede Hwy.	Cade	LA	 70519	337-234-1537			
St. Mark Cemetery	U. S. Highway 84	Jonesville	LA	 71343	318-339-9036			
St. Mark Cemetery	Highway 7	Coushatta	LA	 71068	318-932-6931			
St. Mark's Episcopal Cathedral	908 Rutherford Street	Shreveport	LA	 71104-4246	318-221-3360			
St. Marks Baptist Cemetery of Jeanerette	Old Jeanerette Road	Jeanerette	LA	 70544-0387	337-276-3913			
St. Martin Cemetery	15911 Hwy. 15	Davant	LA	 70046	504-333-4465			
St. Martin Chapel Cemetery	6821 Hwy. 996	Belle Rose	LA	 70341	225-473-8569			
St. Martin de Porres Cemetery	1100 Chaisson St.	Scott	LA	 70583	337-232-1968			
St. Martin of Tours Cemetery	160 C. Church Road	Hessmer	LA	 71341	318-253-9936			
St. Mary Baptist Church Cemetery	760 Hwy. 569	Ferriday	LA	 71334	318-757-4468			
St. Mary Cemetery	500 DeArmas	Algiers	LA	 70114	504-362-5511			
St. Mary Cemetery	Hilliary Street	New Orleans	LA	 70118	504-658-3781			
St. Mary Cemetery	10120 Hwy 44	Union	LA	 70723	225-869-5751			
St. Mary Cemetery	1009 Hwy. 346	Pelican	LA	 71063	318-872-1158			
St. Mary Magdalen Cemetery	410 Old Kaplan Highway	Abbeville	LA	 70510	337-893-0244			
St. Mary's Assumption Catholic Cemetery	Front St. & Indian Bayou Road	Cottonport	LA	 7l327	318-876-3681			
St. Mary's Baptist Church Cemetery	Mulberry Hill Road	Wakefield	LA	 70784	225-654-2286			
St. Mary's Cemetery	540 New Roads St.	New Roads	LA	 70760	225-638-9665			
St. Mary's Nativity Cemetery	3500 Hwy. 1	Raceland	LA	 70394	985-537-3204			
St. Mathilda Cemetery	640 N Martin Luther King Dr	Eunice	LA	 70535	337-457-3286			
St. Matthew Baptist Church Cemetery	107 Nursing Home Street	Palmetto	LA	 71358	337-623-4276			
St. Matthew Baptist Church Cemetery	Frierson Road	Stonewall	LA	 71078	318-564-8701			
St. Matthew Cemetery	314 N. 11th St.	Monroe	LA	 71201	318-323-8878			
St. Matthew Cemetery	Fulton Street	New Iberia	LA	 70560	337-364-5687			
St. Matthew's Episcopal Church Columbarium	243 Barrow Street	Houma	LA	 70360	985-872-5057			
St. Matthews Baptist Church Cemetery	3966 Hwy. 311	Houma	LA	 70360	985-851-2332			
St. Matthews Baptist Church Cemetery	1305 W. Pine St.	Ville Platte	LA	 70586	337-363-7930			
St. Micael Church Cemetery	142 Rexmere Lane	Rexmere	LA	 71355	318-997-2151			
St. Michael Cemetery	Corner of Cemetery & Bridge Sts.	St. Martinville	LA	 70582	337-394-6021			
St. Michael Cemetery	6476 La 44	Convent	LA	 70723	225-869-5751			
St. Michael Cemetery	142 Rexmere Lane	Bordelonville	LA	 71320	318-997-2151			
St. Michael's Cemetery	1052 Huval St	Breaux Bridge	LA	 70517	337-228-2352			
St. Nicholas Cemetery	3319 Patout Rd & Coulee Road	Jeanerette	LA	 70544	337-369-7510			
St. Paschal Cemetery	Arkansas Road	West Monroe	LA	 71291	318-323-1631			
St. Patrick Cemeteries #1 #2 & #3	143 City Park Ave.	New Orleans	LA	 70119	504-596-3050			
St. Patrick Cemetery	312 S. Bayou Black Dr.	Gibson	LA	 70356	985-448-2165			
St. Patrick Cemetery	28698 Hwy. 23	Port Sulphur	LA	 70083	504-564-3284			
St. Paul Baptist Church Cemetery	West Oak Street	Ville Platte	LA	 70586	337-363-6583			
St. Paul C.O.G.I.C., L.L.C. Cemetery	1408 Hwy 409	Slaughter	LA	 70777	225-654-8189			
St. Paul Cemetery	525 Jacqulyn	Abbeville	LA	 70510	337-893-0244			
St. Paul Cemetery	Corner Laurel Avenue & 12th Avenue	Eunice	LA	 70535	337-457-5285			
St. Paul Cemetery	819 Cocoville Road	Mansura	LA	 71350	318-964-2921			
St. Paul Cemetery	200 Gray Street	Belcher	LA	 71004	318-425-2750			
St. Paul Cemetery	La. Hwy. 527	Doyline	LA	 71023	318-987-3109			
St. Paul Cemetery	Corner St Mary & Henderson Sts	Elton	LA	 70532	337-584-2818			
St. Paul Cemetery	Smith Road	Coushatta	LA	 71019	318-932-4832			
St. Paul's Columbarium	6249 Canal Blvd.	New Orleans	LA	 70124	504-488-3749			
St. Paul's Episcopal Church Columbarium	275 Southfield Road	Shreveport	LA	 71105	318-865-8469			
St. Pauls Church Columbarium	1901 Lexington Avenue	Monroe	LA	 71201	318-322-4454			
St. Peter "Gueydan" Cemetery	Florence Road	Gueydan	LA	 70542	337-536-9258			
St. Peter Cemetery	102 N. Church Street	Carencro	LA	 70520	337-896-9408			
St. Peter Cemetery	3782 Lanse Bleau Road	Villie Platte	LA	 70586	337-363-0897			
St. Peter Cemetery	4708 Hwy 451	Bordelonville	LA	 71320	318-997-2151			
St. Peter Cemetery	River Road	Reserve	LA	 70084	985-536-7251			
St. Peter R C Church Parish Cemetery	111 St. Peter Lane	Morrow	LA	 71356	318-346-7010			
St. Peter Roman Catholic Cemetery	1074 Hwy. 748 (Grand Prairie)	Washington	LA	 70589-4541	337-826-3870			
St. Peter Roman Catholic Cemetery	Hampton-Dupre Rd	Pine Prairie	LA	 70576	337-599-2224			
St. Peter the Apostle Cemetery	1325 Big Four Corners Road	Franklin (Four Corners)	LA	 70538	337-276-5256			
St. Peter the Apostle Church Cemetery	1210 Main Street	Hackberry	LA	 70645	337-762-3365			
St. Peter the Apostle R C Church Cemetery	1210 Main St.	Hackberry	LA	 70645	337-762-3365			
St. Peter United Methodist Church Cemetery	St. Peter Street	Jeanerette	LA	 70544	337-276-3265			
St. Peter's AME Church Cemetery	506 Morningside Drive	New Roads	LA	 70760	225-638-9211			
St. Peter's Catholic Church Cemetery	French Street	New Iberia	LA	 70560	337-369-3816			
St. Peter's Cemeteries	4702 Hwy. 451	Bordelonville	LA	 71320	318-997-2151			
St. Peters Catholic Cemetery	Highway 1199	Elmer	LA	 71424	318-748-8324			
St. Peters Cemetery	78600 Musson Lane	Maringouin	LA	 70757	225-776-5109			
St. Phillip Cemetery	Hwy. 405	Modeste	LA	 70396	225-473-1663			
St. Phillip Cemetery	1175 La Hwy 18	Vacherie	LA	 70090	225-265-4085			
St. Philomena Cemetery	108 Brule Rd	Labadieville	LA	 70372	985-526-4247			
St. Pius X Cemetery	Highway 45	Crown Point	LA	 70072	504-689-4102			
St. Raphael Cemetery	Hwy. 405	Plaquemine	LA	 70764	225-545-3635			
St. Roch Cemeteries #1 & #2	#1-1725 St. Roch Ave/#2-1714 Arts	New Orleans	LA	 70117	504-596-3050			
St. Rose Cemetery	2267 Trosclair Roard	Creole	LA	 70632	337-542-4795			
St. Rose Cemetery	2184 Bushville Hwy	Cecilia	LA	 70521	337-667-6555			
St. Tammany Community Cemetery	30664 Azalea Lane	Lacombe	LA	 70445	985-892-1743			
St. Theresa Cemetery	1022 North Burnside Avenue	Gonzales	LA	 70737	225-644-6588			
St. Theresa Mission Church Cemetery	2117 St. Landry Hwy.	St. Landry	LA	 71367	337-599-2224			
St. Theresa of the Child Jesus Cemetery	600 Block Avenue A	Duson	LA	 70529	337-873-4962			
St. Thomas Cemetery	17605 Hwy. 15	Pointe Ala-Hache	LA	 70082	504-333-4465			
St. Thomas Chapel Cemetery	Hwy. 10	Palmetto	LA	 71358	337-623-4957			
St. Thomas Chapel Cemetery	802 Tasso Loop	Savoy	LA	 70535	337-684-5816			
St. Thomas Columbarium	3706 Bon Aire Dr.	Monroe	LA	 71203	318-343-4089			
St. Thomas More R C Church Cemetery	1011 Sitting Street	Eunice	LA	 70535	337-457-8107			
St. Timothy's Episcopal Columbarium	2627 Horseshoe Drive	Alexandria	LA	 71301	318-487-0875			
St. Vincent de Paul Cemeteries #1 & #2	1950 Soniat St.	New Orleans	LA	 70115	504-596-3050			
St. Vincent de Paul Cemetery	1322 Louisa	New Orleans	LA	 70117	504-945-9012			
St. William Cemetery	18310 La. 42	Port Vincent	LA	 70726	225-698-3110			
St. Winifred Effie Cemetery	2644 Hwy. 107	Effie	LA	 71323	318-466-5587			
Stanga Cemetery	La. Hwy. 22  East  Stanga Cemetery Road	Ponchatoula	LA	 70433	985-892-4985			
Starks Memorial Post #4759 Community Cemetery	5194 Fantain Cemetery Road	Starks	LA	 70661	337-743-6409			
Stelly Cemetery	1687 Hwy. 361	Washington	LA	 70589	337-623-5869			
Steve Hughes Cemetery	20350 Steve Hughes Road	Walker	LA	 70785	225-686-2195			
Steven Family Cemetery	Lake Pearl Road	Hessmer	LA	 71341	318-563-8543			
Stewart Cemetery	36150 Hwy 441	Holden	LA	 70744	225-335-8411			
Stewart Family Cemetery	21312 Albert Zeigler Road	Livingston	LA	 70754	225-686-0350			
Sticker Cemetery	Sticker Cemetery Road	Ponchatoula (Bedico)	LA	 70454	985-845-7448			
Still Waters Cemetery	47319 Milton Road	Tickfaw	LA	 70466	985-345-2338			
Stockade Cemetery	8400 Blk. of Highland Road	Baton Rouge	LA	 70808	225-636-8634			
Stogner Family Cemetery	Keaton Road	Angie	LA	 70426	985-986-3235			
Strain Cemetery	Kramer Road	Abita Springs	LA	 70433	504-892-6063			
Street Family Cemetery	32125 John Barber Road	Holden	LA	 70744	225-567-5079			
Strickland Cemetery	490 Strickland Lane	Kentwood	LA	 70444	985-229-4139			
Strickland Family Cemetery	20204 Stafford Road	Kentwood	LA	 70444	985-614-0171			
Strother Cemetery	1750 E. River Road	Glenmora	LA	 71433	318-634-5127			
Sts. Francis & Anne Catholic Church Mausoleum	143 Booner Miller Road	Deville	LA	 71328	318-767-2078			
Sts. Peter & Paul Cemetery	1100 Old Spanish Trail	Scott	LA	 70583	337-235-2433			
Summer Grove Baptist Church Cemetery	2597 W. Bert Kouns Industrial Loop	Shreveport	LA	 71118	318-686-1470			
Summerfield Cemetery	Corner of Alt. 2 & Hwy. 9	Summerfield	LA	 71070-0128	318-927-3773			
Summerland Cemetery	Rosalind Road	Merryville	LA	 70653	318-825-8375			
Summerville Baptist Church Cemetery	154 Summerville Church Road	Olla	LA	 71464-9473	318-992-2206			
Sumrall and Jordan Cemetery	Mobley Road	Franklinton	LA	 70438	985-848-9797			
Sun Light Cemetery	7616 Andre Road	Blanks	LA	 70717	225-637-3478			
Sunrise Gardens	Highway 165	Alexandria	LA	 71301	318-448-1604			
Sunshine Cemetery	Highway 608	Newellton	LA	 71357	318-467-5500			
Swati Cemetery	Montgomery Road	Opelousas	LA	 70570	337-692-0687			
Sweet Canaan Cemetery	Highway 65  South/105 Ted Mershon Rd.	Lake Providence	LA	 71254	318-559-3170			
Sweet Home Baptist Church Cemetery	10300 Church Street	Maringouin	LA	 70757	225-625-2182			
Sweet Home Community Cemetery of Melville	1120 Burton St.	Melville	LA	 71353	337-623-4206			
Sweet Lake United Methodist Church Cemetery	Hwy 397 & Robinson Road	Bell City	LA	 70630	337-598-4088			
Sweet Lake-Grand Lake Community Cemetery	10015 Robinson Road	Sweet Lake	LA	 70630	337-775-5718			
Sweet Olive Cemetery	100 & 200 block South 22nd St.	Baton Rouge	LA	 70802	225-343-5022			
Sweet Union Baptist Church Cemetery	Sweet Union Church Road	Spearsville	LA	 71277	318-778-4364			
Swilley Family Cemetery	114 Luneau Road	Ferriday	LA	 71334	318-757-8462			
Swire Family Cemetery	162 Freddie Swire Lane	Ragley	LA	 70657	318-725-3419			
Sykes Cemetery	30460 Edna Kinchen Road	Holden	LA	 70744	225-294-5559			
Sylvan Acres Family Cemetery	378 Chocolate Factory Road	Arcadia	LA	 71001	318-680-7024			
T-Mamou Cemetery	Evangeline/T-Mamou Road	Ville Platte	LA	 70586	337-363-1840			
T. Homer Craft Cemetery	Hwy. 16	Denham Springs	LA	 70706	225-665-6967			
Tabor Cemetery	Lyons Hill Road	Homer	LA	 71040	318-927-9431			
Tam Family Burial Ground	551 Elmus Paul Road	Pineville	LA	 71360	318-466-5634			
Tanner Family Cemetery	141 Jackson Chapel Road	Greensburg	LA	 70441	225-324-2159			
Tarver Cemetery	155 Levi Tarver Road	Winnsboro	LA	 71295	318-435-6969			
Tarver Family Private Burial Ground	40239 Bahm Road	Franklinton	LA	 70438	985-839-3231			
Tate Family Cemetery	Near 28040 Par Road 80	Mt. Herman	LA	 70450	225-336-9503			
Teche Gardens Cemetery	8526 Hwy 182 W	Centerville	LA	 70522	337-578-9956			
Temple Cemetery	545 Duke Nolan Road	Farmerville	LA	 71241	318-368-8235			
Temple Gates of Prayer Cemetery	West Main Street	New Iberia	LA	 70560	337-364-3075			
Temple Independent Baptist Cemetery	23322 Jim Edwards Road	Franklinton	LA	 70438	985-795-8407			
Terrebonne Memorial Park	8106 Main St.	Houma	LA	 70361	985-872-0950			
Tex's House Cemetery	621 Hwy. 308	Thibodaux	LA	 70301	985-446-2110			
The B.B. Barber Family Cemetery	52717 Perry Erwin Road	Franklinton	LA	 70438	985-515-3651			
The Bridge Cemetery	152 S. Richelieu Circle	New Iberia	LA	 70560	337-380-3043			
The Carter Cemetery	198 Carter Cemetery Road	Starks	LA	 70661	512-332-0461			
The Chapel of the Risen Christ (Columbarium)	123 W. Sale Road	Lake Charles	LA	 70605	337-447-1881			
The Christian Assembly Full Gospel Church Cemetery	42158 Highway 941	Gonzales	LA	 70737	225-644-0416			
The Christon Family Cemetery	1196 Snows Road	Palmetto	LA	 71350	337-623-4993			
The Columbarium of First Presbyterian Church	763 North Blvd.	Baton Rouge	LA	 70802	225-387-0617			
The Community Garden Cemetery	Robert Cove Road	Rayne	LA	 70578	337-334-6908			
The Deville's Cemetery	791 Effie Highway	Deville	LA	 71328	318-623-5886			
